Mouth	mouth	NN1	Q2:2 M7/W3	0	01:12:05:04:01-09 01:02:03:18:01:01	AL:05:d:01 AB:17:m:01:a	mouth/orifice	B1	01:17:04:07-11	AQ:04:g	
;	PUNC	YSCOL		0				PUNC	NULL	NULL	
You	you	PPY		0				Z8mf	04:06	ZF	
were	be	VBDR	Z5	0	01:16:01:04 04:03	AP:01:d ZC	Grammatical	A3+	01:11:01:07	AK:01:g	
pleased	pleased	JJ	E2+	0	02:04:10-02 02:04:10:04	AU:08 AU:10	Contented/satisfied	E4:2+	02:04:09-11	AU:06	
to	to	TO		0			Grammatical	Z5	04:03	ZC	
visit	visit	VVI	M1	0	03:08:03:05-03 03:08:03:05-02	BF:23:d BF:23:d	Visit	S1:1:1	03:13:02:07:01	BK:02:f:01	
that	that	DD1		0	04:03	ZC	Pronoun	Z8	04:06	ZF	
Monument	monument	NN1	A10+	0	01:13:08:04:04-09:03 03:09:04:02	AM:08:c:03 BG:04:b	Monument	O2	01:02:04:06:07	AB:18:f:02	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
and	and	CC		0				Z5	04:03	ZC	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
for	for	IF		5:3:1			Grammatical	T1:3+	04:03	ZC	
many	many	DA2		5:3:2			Many	T1:3+	01:16:04:02:02	AP:04:i:02	
hours	hour	NNT2		5:3:3	01:01:10:07:04-01 01:12:01-09:02	AA:10:f:01 AL:01	Hour	T1:3+	01:13:04:05	AM:04	
together	together	RL	T1:1:2 M6	0	01:16:04:09-02:01 01:14:05:12-05	AP:04:p AN:05:l	together	S5+	01:16:01:12-01	AP:01:l	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
entertain	entertain	VV0	S1:1:1 S7:4+	0	01:12:03:06:04-07 01:11:04-01	AL:03:f:03 AK:04	Entertain	K1	03:13:01	BK:01	
Your	your	APPGE		0				Z8	04:06	ZF	
self	self	NN1		0	01:16:02:02-06:01 02:01:03:06-08:02	AP:02:b AR:04:a	self	S5-	02:01:15:09-04	AR:53:e	
with	with	IW		0			Grammatical	Z5	04:03	ZC	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
delightful	delightful	JJ		0	02:04:10:08:01	AU:11	Joyful/delighted	O4:2+	02:04:10:08	AU:11	
view	view	NN1	X3:4 A4:1	0	01:09:08-01 01:09:08:01	AI:14 AI:14		X4:1	02:01:13:03:01	AR:45:e	
